Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000000001	Ensembl Gene Model	MGI:95773	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	protein coding gene
ENSMUSG00000000078	Ensembl Gene Model	MGI:1346318	Klf6	Kruppel-like factor 6	protein coding gene
ENSMUSG00000000085	Ensembl Gene Model	MGI:1352762	Scmh1	sex comb on midleg homolog 1	protein coding gene
ENSMUSG00000000088	Ensembl Gene Model	MGI:88474	Cox5a	cytochrome c oxidase subunit Va	protein coding gene
ENSMUSG00000000120	Ensembl Gene Model	MGI:97323	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	protein coding gene
ENSMUSG00000000131	Ensembl Gene Model	MGI:2429950	Xpo6	exportin 6	protein coding gene
ENSMUSG00000000149	Ensembl Gene Model	MGI:95767	Gna12	guanine nucleotide binding protein, alpha 12	protein coding gene
ENSMUSG00000000202	Ensembl Gene Model	MGI:1919264	Btbd17	BTB (POZ) domain containing 17	protein coding gene
ENSMUSG00000000275	Ensembl Gene Model	MGI:102749	Trim25	tripartite motif-containing 25	protein coding gene
ENSMUSG00000000278	Ensembl Gene Model	MGI:1921867	Scpep1	serine carboxypeptidase 1	protein coding gene
ENSMUSG00000000295	Ensembl Gene Model	MGI:1916942	Hddc2	HD domain containing 2	protein coding gene
ENSMUSG00000000296	Ensembl Gene Model	MGI:1298386	Tpd52l1	tumor protein D52-like 1	protein coding gene
ENSMUSG00000000303	Ensembl Gene Model	MGI:88354	Cdh1	cadherin 1	protein coding gene
ENSMUSG00000000308	Ensembl Gene Model	MGI:99441	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	protein coding gene
ENSMUSG00000000326	Ensembl Gene Model	MGI:88470	Comt	catechol-O-methyltransferase	protein coding gene
ENSMUSG00000000339	Ensembl Gene Model	MGI:1913618	Rtca	RNA 3'-terminal phosphate cyclase	protein coding gene
ENSMUSG00000000378	Ensembl Gene Model	MGI:2384924	Ccm2	cerebral cavernous malformation 2	protein coding gene
ENSMUSG00000000384	Ensembl Gene Model	MGI:1100868	Tbrg4	transforming growth factor beta regulated gene 4	protein coding gene
ENSMUSG00000000399	Ensembl Gene Model	MGI:1913358	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	protein coding gene
ENSMUSG00000000402	Ensembl Gene Model	MGI:1858599	Egfl6	EGF-like-domain, multiple 6	protein coding gene
ENSMUSG00000000409	Ensembl Gene Model	MGI:96756	Lck	lymphocyte protein tyrosine kinase	protein coding gene
ENSMUSG00000000420	Ensembl Gene Model	MGI:894693	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	protein coding gene
ENSMUSG00000000486	Ensembl Gene Model	MGI:1858916	Sept1	septin 1	protein coding gene
ENSMUSG00000000538	Ensembl Gene Model	MGI:2443306	Tom1l2	target of myb1-like 2 (chicken)	protein coding gene
ENSMUSG00000000544	Ensembl Gene Model	MGI:1891703	Gpa33	glycoprotein A33 (transmembrane)	protein coding gene
ENSMUSG00000000552	Ensembl Gene Model	MGI:1352495	Zfp385a	zinc finger protein 385A	protein coding gene
ENSMUSG00000000561	Ensembl Gene Model	MGI:1917715	Wdr77	WD repeat domain 77	protein coding gene
ENSMUSG00000000563	Ensembl Gene Model	MGI:1100495	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	protein coding gene
ENSMUSG00000000568	Ensembl Gene Model	MGI:101947	Hnrnpd	heterogeneous nuclear ribonucleoprotein D	protein coding gene
ENSMUSG00000000581	Ensembl Gene Model	MGI:1927354	C1d	C1D nuclear receptor co-repressor	protein coding gene
ENSMUSG00000000600	Ensembl Gene Model	MGI:1930618	Krit1	KRIT1, ankyrin repeat containing	protein coding gene
ENSMUSG00000000628	Ensembl Gene Model	MGI:1315197	Hk2	hexokinase 2	protein coding gene
ENSMUSG00000000631	Ensembl Gene Model	MGI:2667185	Myo18a	myosin XVIIIA	protein coding gene
ENSMUSG00000000711	Ensembl Gene Model	MGI:105938	Rab5b	RAB5B, member RAS oncogene family	protein coding gene
ENSMUSG00000000738	Ensembl Gene Model	MGI:2385906	Spg7	SPG7, paraplegin matrix AAA peptidase subunit	protein coding gene
ENSMUSG00000000740	Ensembl Gene Model	MGI:105922	Rpl13	ribosomal protein L13	protein coding gene
ENSMUSG00000000751	Ensembl Gene Model	MGI:1915525	Rpa1	replication protein A1	protein coding gene
ENSMUSG00000000787	Ensembl Gene Model	MGI:103064	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	protein coding gene
ENSMUSG00000000811	Ensembl Gene Model	MGI:2386711	Txnrd3	thioredoxin reductase 3	protein coding gene
ENSMUSG00000000823	Ensembl Gene Model	MGI:2685478	Zfp512b	zinc finger protein 512B	protein coding gene
ENSMUSG00000000826	Ensembl Gene Model	MGI:892995	Dnajc5	DnaJ heat shock protein family (Hsp40) member C5	protein coding gene
ENSMUSG00000000827	Ensembl Gene Model	MGI:1913564	Tpd52l2	tumor protein D52-like 2	protein coding gene
ENSMUSG00000000876	Ensembl Gene Model	MGI:1891701	Pxmp4	peroxisomal membrane protein 4	protein coding gene
ENSMUSG00000000902	Ensembl Gene Model	MGI:1328366	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	protein coding gene
ENSMUSG00000000915	Ensembl Gene Model	MGI:1352504	Hip1r	huntingtin interacting protein 1 related	protein coding gene
ENSMUSG00000000948	Ensembl Gene Model	MGI:5613898	Gm38393	predicted gene, 38393	protein coding gene
ENSMUSG00000000959	Ensembl Gene Model	MGI:1916339	Oxa1l	oxidase assembly 1-like	protein coding gene
ENSMUSG00000001016	Ensembl Gene Model	MGI:1915031	Ilf2	interleukin enhancer binding factor 2	protein coding gene
ENSMUSG00000001017	Ensembl Gene Model	MGI:1913761	Chtop	chromatin target of PRMT1	protein coding gene
ENSMUSG00000001018	Ensembl Gene Model	MGI:1333745	Snapin	SNAP-associated protein	protein coding gene
ENSMUSG00000001025	Ensembl Gene Model	MGI:1339467	S100a6	S100 calcium binding protein A6 (calcyclin)	protein coding gene
ENSMUSG00000001034	Ensembl Gene Model	MGI:1346347	Mapk7	mitogen-activated protein kinase 7	protein coding gene
ENSMUSG00000001053	Ensembl Gene Model	MGI:2442218	N4bp3	NEDD4 binding protein 3	protein coding gene
ENSMUSG00000001054	Ensembl Gene Model	MGI:1913339	Rmnd5b	required for meiotic nuclear division 5 homolog B	protein coding gene
ENSMUSG00000001056	Ensembl Gene Model	MGI:1098547	Nhp2	NHP2 ribonucleoprotein	protein coding gene
ENSMUSG00000001082	Ensembl Gene Model	MGI:1915544	Mfsd10	major facilitator superfamily domain containing 10	protein coding gene
ENSMUSG00000001089	Ensembl Gene Model	MGI:107629	Luzp1	leucine zipper protein 1	protein coding gene
ENSMUSG00000001098	Ensembl Gene Model	MGI:2141207	Kctd10	potassium channel tetramerisation domain containing 10	protein coding gene
ENSMUSG00000001100	Ensembl Gene Model	MGI:1915061	Poldip2	polymerase (DNA-directed), delta interacting protein 2	protein coding gene
ENSMUSG00000001105	Ensembl Gene Model	MGI:1915585	Ift20	intraflagellar transport 20	protein coding gene
ENSMUSG00000001123	Ensembl Gene Model	MGI:109496	Lgals9	lectin, galactose binding, soluble 9	protein coding gene
ENSMUSG00000001131	Ensembl Gene Model	MGI:98752	Timp1	tissue inhibitor of metalloproteinase 1	protein coding gene
ENSMUSG00000001150	Ensembl Gene Model	MGI:1930089	Mcm3ap	minichromosome maintenance complex component 3 associated protein	protein coding gene
ENSMUSG00000001151	Ensembl Gene Model	MGI:102722	Pcnt	pericentrin (kendrin)	protein coding gene
ENSMUSG00000001157	Ensembl Gene Model	MGI:1345156	Gmcl1	germ cell-less, spermatogenesis associated 1	protein coding gene
ENSMUSG00000001158	Ensembl Gene Model	MGI:1913868	Snrnp27	small nuclear ribonucleoprotein 27 (U4/U6.U5)	protein coding gene
ENSMUSG00000001173	Ensembl Gene Model	MGI:109589	Ocrl	OCRL, inositol polyphosphate-5-phosphatase	protein coding gene
ENSMUSG00000001175	Ensembl Gene Model	MGI:88251	Calm1	calmodulin 1	protein coding gene
ENSMUSG00000001228	Ensembl Gene Model	MGI:1338889	Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1	protein coding gene
ENSMUSG00000001247	Ensembl Gene Model	MGI:1927471	Lsr	lipolysis stimulated lipoprotein receptor	protein coding gene
ENSMUSG00000001248	Ensembl Gene Model	MGI:105490	Gramd1a	GRAM domain containing 1A	protein coding gene
ENSMUSG00000001270	Ensembl Gene Model	MGI:88407	Ckb	creatine kinase, brain	protein coding gene
ENSMUSG00000001280	Ensembl Gene Model	MGI:98372	Sp1	trans-acting transcription factor 1	protein coding gene
ENSMUSG00000001285	Ensembl Gene Model	MGI:1929864	Myg1	melanocyte proliferating gene 1	protein coding gene
ENSMUSG00000001288	Ensembl Gene Model	MGI:97858	Rarg	retinoic acid receptor, gamma	protein coding gene
ENSMUSG00000001305	Ensembl Gene Model	MGI:1914473	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae)	protein coding gene
ENSMUSG00000001333	Ensembl Gene Model	MGI:1916078	Sync	syncoilin	protein coding gene
ENSMUSG00000001366	Ensembl Gene Model	MGI:1918788	Fbxo9	f-box protein 9	protein coding gene
ENSMUSG00000001383	Ensembl Gene Model	MGI:1913742	Zmat2	zinc finger, matrin type 2	protein coding gene
